Date;Hour;Temperature(°C);Humidity(%);Wind speed (m/s);Visibility (10m);Dew point temperature(°C);Solar Radiation (MJ/m2);Rainfall(mm);Snowfall (cm);Seasons;Holiday;Functioning Day;Rented Bike Count
4.12.2017;19;-29;32;32;2000;-173;0;0;0;Winter;No Holiday;Yes;568
4.12.2017;20;-36;38;3;2000;-158;0;0;0;Winter;No Holiday;Yes;398
4.12.2017;21;-46;43;45;2000;-153;0;0;0;Winter;No Holiday;Yes;397
4.12.2017;22;-53;45;25;2000;-153;0;0;0;Winter;No Holiday;Yes;353
4.12.2017;23;-58;44;24;2000;-161;0;0;0;Winter;No Holiday;Yes;248
5.12.2017;0;-61;42;26;2000;-169;0;0;0;Winter;No Holiday;Yes;216
5.12.2017;1;-65;41;28;2000;-176;0;0;0;Winter;No Holiday;Yes;198
5.12.2017;2;-68;41;25;2000;-178;0;0;0;Winter;No Holiday;Yes;124
5.12.2017;3;-69;39;2;2000;-185;0;0;0;Winter;No Holiday;Yes;62
5.12.2017;4;-72;34;3;2000;-204;0;0;0;Winter;No Holiday;Yes;42
5.12.2017;5;-74;33;26;2000;-209;0;0;0;Winter;No Holiday;Yes;82
5.12.2017;6;-74;34;32;2000;-206;0;0;0;Winter;No Holiday;Yes;172
5.12.2017;7;-75;33;22;2000;-21;0;0;0;Winter;No Holiday;Yes;381
5.12.2017;8;-81;36;16;2000;-205;1;0;0;Winter;No Holiday;Yes;812
5.12.2017;9;-76;31;13;1974;-218;21;0;0;Winter;No Holiday;Yes;462
5.12.2017;10;-55;26;28;1967;-22;64;0;0;Winter;No Holiday;Yes;269
5.12.2017;11;-39;25;0;1959;-21;0;0;0;Winter;No Holiday;Yes;334
5.12.2017;12;-23;25;0;1962;-197;0;0;0;Winter;No Holiday;Yes;321
5.12.2017;13;-16;27;0;1955;-182;0;0;0;Winter;No Holiday;Yes;325
5.12.2017;14;-11;28;0;2000;-173;0;0;0;Winter;No Holiday;Yes;334
5.12.2017;15;-7;28;0;2000;-169;0;0;0;Winter;No Holiday;Yes;353
5.12.2017;16;-5;30;0;2000;-16;0;0;0;Winter;No Holiday;Yes;435
5.12.2017;17;-16;35;0;2000;-151;0;0;0;Winter;No Holiday;Yes;529
5.12.2017;18;-26;40;0;2000;-144;0;0;0;Winter;No Holiday;Yes;789
5.12.2017;19;-32;45;0;2000;-135;0;0;0;Winter;No Holiday;Yes;597
5.12.2017;20;-35;46;0;2000;-134;0;0;0;Winter;No Holiday;Yes;418
5.12.2017;21;-37;47;0;2000;-133;0;0;0;Winter;No Holiday;Yes;415
5.12.2017;22;-28;49;0;2000;-12;0;0;0;Winter;No Holiday;Yes;393
5.12.2017;23;-25;59;0;1210;-94;0;0;0;Winter;No Holiday;Yes;244
6.12.2017;0;-28;77;0;331;-62;0;1;1;Winter;No Holiday;Yes;145
6.12.2017;1;-3;79;0;293;-61;0;0;3;Winter;No Holiday;Yes;144
6.12.2017;2;-3;79;0;1862;-61;0;0;4;Winter;No Holiday;Yes;117
6.12.2017;3;-32;78;0;1808;-64;0;2;4;Winter;No Holiday;Yes;78
6.12.2017;4;-34;75;0;1982;-72;0;0;4;Winter;No Holiday;Yes;58
6.12.2017;5;-36;76;0;1934;-72;0;0;4;Winter;No Holiday;Yes;87
6.12.2017;6;-37;76;0;1864;-73;0;0;4;Winter;No Holiday;Yes;142
6.12.2017;7;-42;77;0;1741;-76;0;0;3;Winter;No Holiday;Yes;379
6.12.2017;8;-42;78;0;1518;-74;1;0;2;Winter;No Holiday;Yes;802
6.12.2017;9;-33;70;0;1324;-79;25;0;2;Winter;No Holiday;Yes;440
6.12.2017;10;-9;64;0;1224;-68;63;0;2;Winter;No Holiday;Yes;307
6.12.2017;11;16;57;12;1261;-6;93;0;0;Winter;No Holiday;Yes;381
6.12.2017;12;24;52;9;1224;-64;108;0;0;Winter;No Holiday;Yes;405
6.12.2017;13;42;47;11;1469;-61;11;0;0;Winter;No Holiday;Yes;442
6.12.2017;14;55;34;1;1966;-91;96;0;0;Winter;No Holiday;Yes;416
6.12.2017;15;55;31;31;1968;-103;72;0;0;Winter;No Holiday;Yes;412
6.12.2017;16;53;37;29;2000;-82;36;0;0;Winter;No Holiday;Yes;496
6.12.2017;17;41;60;25;1565;-29;1;0;0;Winter;No Holiday;Yes;239
6.12.2017;18;17;90;1;66;2;0;3;3;Winter;No Holiday;Yes;204
6.12.2017;19;12;92;7;180;0;0;0;1;Winter;No Holiday;Yes;205
6.12.2017;20;12;94;6;228;3;0;0;1;Winter;No Holiday;Yes;190
6.12.2017;21;11;92;5;235;0;0;7;1;Winter;No Holiday;Yes;165
6.12.2017;22;13;92;6;233;1;0;0;1;Winter;No Holiday;Yes;222
6.12.2017;23;13;92;6;209;1;0;0;1;Winter;No Holiday;Yes;193
7.12.2017;0;14;92;5;240;2;0;0;9;Winter;No Holiday;Yes;198
7.12.2017;1;15;92;4;227;3;0;0;9;Winter;No Holiday;Yes;218
7.12.2017;2;14;92;7;168;2;0;0;9;Winter;No Holiday;Yes;149
7.12.2017;3;19;91;14;218;5;0;0;9;Winter;No Holiday;Yes;102
7.12.2017;4;16;92;7;119;4;0;0;9;Winter;No Holiday;Yes;62
7.12.2017;5;15;92;11;175;3;0;0;9;Winter;No Holiday;Yes;83
7.12.2017;6;1;93;5;148;0;0;0;9;Winter;No Holiday;Yes;137
7.12.2017;7;3;93;5;173;-7;0;0;9;Winter;No Holiday;Yes;367
7.12.2017;8;-2;96;8;173;-7;1;0;8;Winter;No Holiday;Yes;754
7.12.2017;9;1;91;8;265;-11;14;0;8;Winter;No Holiday;Yes;415
7.12.2017;10;11;83;7;311;-14;41;0;7;Winter;No Holiday;Yes;321
7.12.2017;11;23;69;17;628;-28;63;0;6;Winter;No Holiday;Yes;333
7.12.2017;12;37;65;24;833;-22;98;0;3;Winter;No Holiday;Yes;431
7.12.2017;13;41;37;31;1767;-93;114;0;0;Winter;No Holiday;Yes;394
7.12.2017;14;44;36;27;1975;-94;104;0;0;Winter;No Holiday;Yes;390
7.12.2017;15;4;35;31;1962;-101;84;0;0;Winter;No Holiday;Yes;430
7.12.2017;16;32;38;29;1817;-97;51;0;0;Winter;No Holiday;Yes;471
7.12.2017;17;21;50;2;1434;-72;15;0;0;Winter;No Holiday;Yes;552
7.12.2017;18;7;46;27;1558;-96;0;0;0;Winter;No Holiday;Yes;795
7.12.2017;19;-4;47;25;1269;-103;0;0;0;Winter;No Holiday;Yes;507
7.12.2017;20;-14;47;25;1620;-112;0;0;0;Winter;No Holiday;Yes;390
7.12.2017;21;-22;46;22;1975;-122;0;0;0;Winter;No Holiday;Yes;402
7.12.2017;22;-27;48;26;1844;-122;0;0;0;Winter;No Holiday;Yes;389
7.12.2017;23;-32;50;21;1887;-121;0;0;0;Winter;No Holiday;Yes;259
8.12.2017;0;-35;49;26;1893;-126;0;0;0;Winter;No Holiday;Yes;233
8.12.2017;1;-37;50;25;1902;-126;0;0;0;Winter;No Holiday;Yes;230
8.12.2017;2;-43;53;1;1918;-124;0;0;0;Winter;No Holiday;Yes;131
8.12.2017;3;-48;52;16;1978;-131;0;0;0;Winter;No Holiday;Yes;99
8.12.2017;4;-53;53;24;1936;-134;0;0;0;Winter;No Holiday;Yes;71
8.12.2017;5;-58;56;2;1941;-131;0;0;0;Winter;No Holiday;Yes;84
8.12.2017;6;-6;56;35;1853;-133;0;0;0;Winter;No Holiday;Yes;158
8.12.2017;7;-65;57;8;1776;-136;0;0;0;Winter;No Holiday;Yes;387
8.12.2017;8;-7;59;8;1559;-136;1;0;0;Winter;No Holiday;Yes;780
8.12.2017;9;-67;50;9;1492;-154;23;0;0;Winter;No Holiday;Yes;395
8.12.2017;10;-53;44;28;1516;-156;63;0;0;Winter;No Holiday;Yes;261
8.12.2017;11;-37;39;14;1595;-156;93;0;0;Winter;No Holiday;Yes;310
8.12.2017;12;-2;30;14;1728;-173;114;0;0;Winter;No Holiday;Yes;355
8.12.2017;13;-17;28;18;1963;-178;122;0;0;Winter;No Holiday;Yes;354
8.12.2017;14;-13;27;31;1906;-179;112;0;0;Winter;No Holiday;Yes;350
8.12.2017;15;-8;26;33;1977;-179;87;0;0;Winter;No Holiday;Yes;362
8.12.2017;16;-11;24;34;2000;-191;56;0;0;Winter;No Holiday;Yes;401
8.12.2017;17;-24;30;27;2000;-176;18;0;0;Winter;No Holiday;Yes;500
8.12.2017;18;-31;33;12;2000;-171;0;0;0;Winter;No Holiday;Yes;752
8.12.2017;19;-33;35;11;2000;-166;0;0;0;Winter;No Holiday;Yes;477
8.12.2017;20;-33;34;15;2000;-169;0;0;0;Winter;No Holiday;Yes;384
8.12.2017;21;-33;35;5;2000;-166;0;0;0;Winter;No Holiday;Yes;336
8.12.2017;22;-34;39;12;2000;-154;0;0;0;Winter;No Holiday;Yes;347
8.12.2017;23;-35;43;9;2000;-143;0;0;0;Winter;No Holiday;Yes;275
9.12.2017;0;-35;48;9;1967;-129;0;0;0;Winter;No Holiday;Yes;267
9.12.2017;1;-41;49;6;2000;-132;0;0;0;Winter;No Holiday;Yes;296
9.12.2017;2;-47;50;7;1983;-135;0;0;0;Winter;No Holiday;Yes;237
9.12.2017;3;-43;47;6;1992;-139;0;0;0;Winter;No Holiday;Yes;169
9.12.2017;4;-43;49;7;2000;-134;0;0;0;Winter;No Holiday;Yes;96
9.12.2017;5;-47;49;8;1999;-138;0;0;0;Winter;No Holiday;Yes;56
9.12.2017;6;-51;53;9;1975;-132;0;0;0;Winter;No Holiday;Yes;76
9.12.2017;7;-55;56;8;1950;-129;0;0;0;Winter;No Holiday;Yes;127
9.12.2017;8;-54;56;7;1940;-128;1;0;0;Winter;No Holiday;Yes;222
9.12.2017;9;-47;48;1;1784;-14;23;0;0;Winter;No Holiday;Yes;291
9.12.2017;10;-22;42;13;1646;-134;61;0;0;Winter;No Holiday;Yes;273
9.12.2017;11;0;45;11;1500;-105;89;0;0;Winter;No Holiday;Yes;351
9.12.2017;12;24;40;8;1809;-98;105;0;0;Winter;No Holiday;Yes;427
9.12.2017;13;39;36;2;1702;-98;113;0;0;Winter;No Holiday;Yes;431
9.12.2017;14;47;32;22;1948;-106;106;0;0;Winter;No Holiday;Yes;486
9.12.2017;15;52;30;2;1963;-11;84;0;0;Winter;No Holiday;Yes;569
9.12.2017;16;44;33;16;1963;-105;4;0;0;Winter;No Holiday;Yes;546
9.12.2017;17;35;37;18;1963;-98;1;0;0;Winter;No Holiday;Yes;481
9.12.2017;18;25;41;1;1974;-94;0;0;0;Winter;No Holiday;Yes;384
9.12.2017;19;15;48;4;1878;-83;0;0;0;Winter;No Holiday;Yes;275
9.12.2017;20;8;51;14;1848;-82;0;0;0;Winter;No Holiday;Yes;298
9.12.2017;21;-1;55;7;1654;-8;0;0;0;Winter;No Holiday;Yes;321
9.12.2017;22;-5;55;6;1655;-84;0;0;0;Winter;No Holiday;Yes;289
9.12.2017;23;-1;54;13;1570;-83;0;0;0;Winter;No Holiday;Yes;265
10.12.2017;0;-2;55;1;1629;-81;0;0;0;Winter;No Holiday;Yes;326
10.12.2017;1;-2;54;5;1747;-84;0;0;0;Winter;No Holiday;Yes;280
10.12.2017;2;2;52;7;1726;-85;0;0;0;Winter;No Holiday;Yes;243
10.12.2017;3;3;53;5;1748;-81;0;0;0;Winter;No Holiday;Yes;169
10.12.2017;4;4;52;16;1816;-83;0;0;0;Winter;No Holiday;Yes;71
10.12.2017;5;3;74;1;178;-37;0;0;7;Winter;No Holiday;Yes;13
10.12.2017;6;-5;90;9;91;-19;0;25;27;Winter;No Holiday;Yes;9
10.12.2017;7;-4;92;11;121;-15;0;0;4;Winter;No Holiday;Yes;20
10.12.2017;8;-2;90;12;378;-16;0;0;41;Winter;No Holiday;Yes;35
10.12.2017;9;2;90;1;305;-12;0;16;43;Winter;No Holiday;Yes;31
10.12.2017;10;5;91;4;143;-8;0;0;43;Winter;No Holiday;Yes;19
10.12.2017;11;9;92;9;137;-2;3;0;39;Winter;No Holiday;Yes;58
10.12.2017;12;23;88;3;245;5;28;0;31;Winter;No Holiday;Yes;119
10.12.2017;13;33;87;11;230;13;54;0;21;Winter;No Holiday;Yes;182
10.12.2017;14;42;85;7;325;18;65;0;14;Winter;No Holiday;Yes;235
10.12.2017;15;67;63;45;715;1;35;0;1;Winter;No Holiday;Yes;180
10.12.2017;16;54;71;35;622;5;2;0;5;Winter;No Holiday;Yes;214
10.12.2017;17;36;65;43;1061;-23;3;0;4;Winter;No Holiday;Yes;226
10.12.2017;18;2;61;3;2000;-47;0;0;0;Winter;No Holiday;Yes;210
10.12.2017;19;16;53;4;2000;-69;0;0;0;Winter;No Holiday;Yes;181
10.12.2017;20;6;57;39;1954;-69;0;0;0;Winter;No Holiday;Yes;165
10.12.2017;21;0;59;3;1862;-7;0;0;0;Winter;No Holiday;Yes;167
10.12.2017;22;-1;56;47;2000;-86;0;0;0;Winter;No Holiday;Yes;152
10.12.2017;23;-14;43;43;2000;-123;0;0;0;Winter;No Holiday;Yes;148
11.12.2017;0;-25;39;34;2000;-145;0;0;0;Winter;No Holiday;Yes;125
11.12.2017;1;-34;36;38;2000;-163;0;0;0;Winter;No Holiday;Yes;111
11.12.2017;2;-42;35;34;2000;-174;0;0;0;Winter;No Holiday;Yes;67
11.12.2017;3;-47;38;24;2000;-168;0;0;0;Winter;No Holiday;Yes;45
11.12.2017;4;-52;35;32;2000;-183;0;0;0;Winter;No Holiday;Yes;44
11.12.2017;5;-56;38;32;1974;-176;0;0;0;Winter;No Holiday;Yes;86
11.12.2017;6;-59;39;29;1979;-176;0;0;0;Winter;No Holiday;Yes;136
11.12.2017;7;-6;39;31;1996;-177;0;0;0;Winter;No Holiday;Yes;325
11.12.2017;8;-6;38;36;1994;-18;1;0;0;Winter;No Holiday;Yes;653
11.12.2017;9;-59;36;51;1941;-186;1;0;0;Winter;No Holiday;Yes;326
11.12.2017;10;-53;32;45;2000;-194;62;0;0;Winter;No Holiday;Yes;212
11.12.2017;11;-47;36;38;2000;-175;1;0;0;Winter;No Holiday;Yes;226
11.12.2017;12;-52;33;46;1973;-19;126;0;0;Winter;No Holiday;Yes;247
11.12.2017;13;-54;32;51;1986;-195;124;0;0;Winter;No Holiday;Yes;241
11.12.2017;14;-54;31;41;1945;-199;113;0;0;Winter;No Holiday;Yes;253
11.12.2017;15;-55;33;45;2000;-192;92;0;0;Winter;No Holiday;Yes;269
11.12.2017;16;-6;40;4;2000;-174;55;0;0;Winter;No Holiday;Yes;277
11.12.2017;17;-71;44;42;2000;-173;18;0;0;Winter;No Holiday;Yes;361
11.12.2017;18;-79;43;33;2000;-183;0;0;0;Winter;No Holiday;Yes;557
11.12.2017;19;-86;45;39;2000;-184;0;0;0;Winter;No Holiday;Yes;371
11.12.2017;20;-93;49;38;2000;-18;0;0;0;Winter;No Holiday;Yes;254
11.12.2017;21;-97;51;25;2000;-179;0;0;0;Winter;No Holiday;Yes;266
11.12.2017;22;-102;50;3;2000;-186;0;0;0;Winter;No Holiday;Yes;222
11.12.2017;23;-107;53;12;2000;-184;0;0;0;Winter;No Holiday;Yes;174
12.12.2017;0;-11;51;11;2000;-191;0;0;0;Winter;No Holiday;Yes;133
12.12.2017;1;-112;51;11;2000;-193;0;0;0;Winter;No Holiday;Yes;127
12.12.2017;2;-115;50;7;2000;-198;0;0;0;Winter;No Holiday;Yes;95
12.12.2017;3;-116;50;22;1995;-199;0;0;0;Winter;No Holiday;Yes;54
12.12.2017;4;-116;47;21;1982;-206;0;0;0;Winter;No Holiday;Yes;46
12.12.2017;5;-116;45;28;1951;-211;0;0;0;Winter;No Holiday;Yes;65
12.12.2017;6;-118;47;25;1973;-208;0;0;0;Winter;No Holiday;Yes;104
12.12.2017;7;-121;50;23;1929;-204;0;0;0;Winter;No Holiday;Yes;280
12.12.2017;8;-123;52;13;1914;-201;0;0;0;Winter;No Holiday;Yes;580
12.12.2017;9;-118;46;29;1956;-211;1;0;0;Winter;No Holiday;Yes;275
12.12.2017;10;-105;45;33;1855;-201;6;0;0;Winter;No Holiday;Yes;184
12.12.2017;11;-94;42;31;1815;-199;93;0;0;Winter;No Holiday;Yes;201
12.12.2017;12;-83;35;29;1967;-21;114;0;0;Winter;No Holiday;Yes;228
12.12.2017;13;-69;37;24;1955;-191;122;0;0;Winter;No Holiday;Yes;225
12.12.2017;14;-54;32;2;1930;-195;112;0;0;Winter;No Holiday;Yes;258
12.12.2017;15;-58;30;28;2000;-206;92;0;0;Winter;No Holiday;Yes;250
12.12.2017;16;-6;29;28;1983;-212;58;0;0;Winter;No Holiday;Yes;248
12.12.2017;17;-7;32;26;2000;-209;19;0;0;Winter;No Holiday;Yes;305
12.12.2017;18;-77;36;1;2000;-202;0;0;0;Winter;No Holiday;Yes;529
12.12.2017;19;-82;43;11;2000;-185;0;0;0;Winter;No Holiday;Yes;350
12.12.2017;20;-84;42;1;2000;-19;0;0;0;Winter;No Holiday;Yes;260
12.12.2017;21;-88;43;14;1999;-191;0;0;0;Winter;No Holiday;Yes;270
12.12.2017;22;-9;45;13;1999;-187;0;0;0;Winter;No Holiday;Yes;256
12.12.2017;23;-93;47;21;2000;-185;0;0;0;Winter;No Holiday;Yes;173
13.12.2017;0;-95;48;13;1996;-184;0;0;0;Winter;No Holiday;Yes;168
13.12.2017;1;-102;52;16;1997;-182;0;0;0;Winter;No Holiday;Yes;183
13.12.2017;2;-104;53;18;1949;-181;0;0;0;Winter;No Holiday;Yes;120
13.12.2017;3;-109;55;18;1913;-181;0;0;0;Winter;No Holiday;Yes;79
13.12.2017;4;-114;58;13;1907;-18;0;0;0;Winter;No Holiday;Yes;41
13.12.2017;5;-115;58;11;1923;-181;0;0;0;Winter;No Holiday;Yes;68
13.12.2017;6;-119;57;11;1974;-187;0;0;0;Winter;No Holiday;Yes;109
13.12.2017;7;-117;53;16;1998;-193;0;0;0;Winter;No Holiday;Yes;310
13.12.2017;8;-114;47;33;2000;-204;0;0;0;Winter;No Holiday;Yes;591
13.12.2017;9;-111;46;34;1981;-204;1;0;0;Winter;No Holiday;Yes;340
13.12.2017;10;-95;39;21;1875;-209;6;0;0;Winter;No Holiday;Yes;202
13.12.2017;11;-81;35;18;1806;-209;96;0;0;Winter;No Holiday;Yes;251
13.12.2017;12;-65;30;29;1945;-212;117;0;0;Winter;No Holiday;Yes;267
13.12.2017;13;-58;28;29;1887;-214;123;0;0;Winter;No Holiday;Yes;251
13.12.2017;14;-47;27;29;1883;-208;112;0;0;Winter;No Holiday;Yes;240
13.12.2017;15;-49;26;31;1887;-215;89;0;0;Winter;No Holiday;Yes;240
13.12.2017;16;-45;26;22;2000;-211;56;0;0;Winter;No Holiday;Yes;278
13.12.2017;17;-56;29;17;2000;-208;18;0;0;Winter;No Holiday;Yes;392
13.12.2017;18;-66;33;11;2000;-202;0;0;0;Winter;No Holiday;Yes;537
13.12.2017;19;-66;31;16;2000;-209;0;0;0;Winter;No Holiday;Yes;373
13.12.2017;20;-76;35;8;2000;-204;0;0;0;Winter;No Holiday;Yes;263
13.12.2017;21;-83;39;1;2000;-198;0;0;0;Winter;No Holiday;Yes;271
13.12.2017;22;-89;39;1;2000;-203;0;0;0;Winter;No Holiday;Yes;271
13.12.2017;23;-92;44;4;1978;-192;0;0;0;Winter;No Holiday;Yes;174
14.12.2017;0;-95;50;6;1953;-18;0;0;0;Winter;No Holiday;Yes;171
14.12.2017;1;-98;48;8;2000;-187;0;0;0;Winter;No Holiday;Yes;170
14.12.2017;2;-106;44;8;1903;-205;0;0;0;Winter;No Holiday;Yes;107
14.12.2017;3;-107;48;4;1651;-196;0;0;0;Winter;No Holiday;Yes;80
14.12.2017;4;-11;50;8;1718;-194;0;0;0;Winter;No Holiday;Yes;52
14.12.2017;5;-108;48;8;1648;-196;0;0;0;Winter;No Holiday;Yes;62
